"year","counterparty","state","Sum(cases)"
2019,"Non-collision transport accident","Vic",2214
2019,"Non-collision transport accident","WA",1068
2019,"Other","ACT",127
2019,"Other","NSW",1764
2019,"Other","NT",110
2019,"Other","Qld",1697
2019,"Other","SA",491
2019,"Other","Tas",157
2019,"Other","Vic",2024
2019,"Other","WA",684
2020,"Car, pick-up truck or van","ACT",184
2020,"Car, pick-up truck or van","NSW",3730
2020,"Car, pick-up truck or van","NT",206
2020,"Car, pick-up truck or van","Qld",3742
2020,"Car, pick-up truck or van","SA",916
2020,"Car, pick-up truck or van","Tas",233
2020,"Car, pick-up truck or van","Vic",4190
2020,"Car, pick-up truck or van","WA",1163
2020,"Fixed or stationary object","ACT",86
2020,"Fixed or stationary object","NSW",1405
2020,"Fixed or stationary object","NT",128
2020,"Fixed or stationary object","Qld",1516
2020,"Fixed or stationary object","SA",381
2020,"Fixed or stationary object","Tas",110
2020,"Fixed or stationary object","Vic",1348
2020,"Fixed or stationary object","WA",585
2020,"Non-collision transport accident","ACT",217
2020,"Non-collision transport accident","NSW",2545
2020,"Non-collision transport accident","NT",338
2020,"Non-collision transport accident","Qld",2896
2020,"Non-collision transport accident","SA",783
2020,"Non-collision transport accident","Tas",290
2020,"Non-collision transport accident","Vic",2477
2020,"Non-collision transport accident","WA",1171
2020,"Other","ACT",142
2020,"Other","NSW",1594
2020,"Other","NT",115
2020,"Other","Qld",1647
2020,"Other","SA",423
2020,"Other","Tas",145
2020,"Other","Vic",1869
2020,"Other","WA",717
2021,"Car, pick-up truck or van","ACT",232
2021,"Car, pick-up truck or van","NSW",3454
2021,"Car, pick-up truck or van","NT",205
2021,"Car, pick-up truck or van","Qld",4396
2021,"Car, pick-up truck or van","SA",1093
2021,"Car, pick-up truck or van","Tas",294
2021,"Car, pick-up truck or van","Vic",4984
2021,"Car, pick-up truck or van","WA",1314
2021,"Fixed or stationary object","ACT",82
2021,"Fixed or stationary object","NSW",1314
2021,"Fixed or stationary object","NT",84
2021,"Fixed or stationary object","Qld",1510
2021,"Fixed or stationary object","SA",418
2021,"Fixed or stationary object","Tas",134
2021,"Fixed or stationary object","Vic",1474
2021,"Fixed or stationary object","WA",517
2021,"Non-collision transport accident","ACT",248
2021,"Non-collision transport accident","NSW",2563
2021,"Non-collision transport accident","NT",315
2021,"Non-collision transport accident","Qld",2831
2021,"Non-collision transport accident","SA",670
2021,"Non-collision transport accident","Tas",241
2021,"Non-collision transport accident","Vic",2674
2021,"Non-collision transport accident","WA",1054
2021,"Other","ACT",178
2021,"Other","NSW",1672
2021,"Other","NT",106
2021,"Other","Qld",1710
2021,"Other","SA",451
2021,"Other","Tas",136
2021,"Other","Vic",1998
2021,"Other","WA",683
