"year","state","road_user","Sum(cases)"
2016,"QLD","Bus occupant",41
2016,"QLD","Car driver, passenger or unknown position",4260
2016,"QLD","Heavy transport driver, passenger or unknown position",142
2016,"QLD","Motorcyclist",2159
2016,"QLD","Other or unknown",146
2016,"QLD","Pedal cyclist",1442
2016,"QLD","Pedestrian",455
2016,"QLD","Pick-up truck or van occupant",57
2016,"SA","Bus occupant",14
2016,"SA","Car driver, passenger or unknown position",1292
2016,"SA","Heavy transport driver, passenger or unknown position",39
2016,"SA","Motorcyclist",546
2016,"SA","Other or unknown",46
2016,"SA","Pedal cyclist",527
2016,"SA","Pedestrian",168
2016,"SA","Pick-up truck or van occupant",22
2016,"TAS","Bus occupant",0
2016,"TAS","Car driver, passenger or unknown position",310
2016,"TAS","Heavy transport driver, passenger or unknown position",8
2016,"TAS","Motorcyclist",171
2016,"TAS","Other or unknown",15
2016,"TAS","Pedal cyclist",96
2016,"TAS","Pedestrian",41
2016,"TAS","Pick-up truck or van occupant",5
2016,"VIC","Bus occupant",63
2016,"VIC","Car driver, passenger or unknown position",5324
2016,"VIC","Heavy transport driver, passenger or unknown position",110
2016,"VIC","Motorcyclist",1806
2016,"VIC","Other or unknown",173
2016,"VIC","Pedal cyclist",2008
2016,"VIC","Pedestrian",800
2016,"VIC","Pick-up truck or van occupant",76
2016,"WA","Bus occupant",21
2016,"WA","Car driver, passenger or unknown position",1252
2016,"WA","Heavy transport driver, passenger or unknown position",34
2016,"WA","Motorcyclist",802
2016,"WA","Other or unknown",68
2016,"WA","Pedal cyclist",652
2016,"WA","Pedestrian",166
2016,"WA","Pick-up truck or van occupant",36
2017,"ACT","Bus occupant",0
2017,"ACT","Car driver, passenger or unknown position",250
2017,"ACT","Heavy transport driver, passenger or unknown position",0
2017,"ACT","Motorcyclist",119
2017,"ACT","Other or unknown",0
2017,"ACT","Pedal cyclist",211
2017,"ACT","Pedestrian",34
2017,"ACT","Pick-up truck or van occupant",0
2017,"NSW","Bus occupant",109
2017,"NSW","Car driver, passenger or unknown position",5295
2017,"NSW","Heavy transport driver, passenger or unknown position",147
2017,"NSW","Motorcyclist",2526
2017,"NSW","Other or unknown",137
2017,"NSW","Pedal cyclist",1791
2017,"NSW","Pedestrian",929
2017,"NSW","Pick-up truck or van occupant",82
2017,"NT","Car driver, passenger or unknown position",366
2017,"NT","Heavy transport driver, passenger or unknown position",7
2017,"NT","Motorcyclist",149
2017,"NT","Other or unknown",9
2017,"NT","Pedal cyclist",74
2017,"NT","Pedestrian",79
2017,"NT","Pick-up truck or van occupant",0
2017,"QLD","Bus occupant",28
2017,"QLD","Car driver, passenger or unknown position",4559
2017,"QLD","Heavy transport driver, passenger or unknown position",170
2017,"QLD","Motorcyclist",2208
2017,"QLD","Other or unknown",135
2017,"QLD","Pedal cyclist",1542
2017,"QLD","Pedestrian",439
2017,"QLD","Pick-up truck or van occupant",53
2017,"SA","Bus occupant",15
2017,"SA","Car driver, passenger or unknown position",1151
2017,"SA","Heavy transport driver, passenger or unknown position",31
2017,"SA","Motorcyclist",531
2017,"SA","Other or unknown",55
2017,"SA","Pedal cyclist",469
2017,"SA","Pedestrian",127
2017,"SA","Pick-up truck or van occupant",15
2017,"TAS","Bus occupant",0
2017,"TAS","Car driver, passenger or unknown position",310
2017,"TAS","Heavy transport driver, passenger or unknown position",5
2017,"TAS","Motorcyclist",169
2017,"TAS","Other or unknown",8
2017,"TAS","Pedal cyclist",107
2017,"TAS","Pedestrian",34
2017,"TAS","Pick-up truck or van occupant",0
2017,"VIC","Bus occupant",73
2017,"VIC","Car driver, passenger or unknown position",5528
2017,"VIC","Heavy transport driver, passenger or unknown position",126
2017,"VIC","Motorcyclist",1979
2017,"VIC","Other or unknown",146
2017,"VIC","Pedal cyclist",2089
2017,"VIC","Pedestrian",786
2017,"VIC","Pick-up truck or van occupant",67
2017,"WA","Bus occupant",15
2017,"WA","Car driver, passenger or unknown position",1277
2017,"WA","Heavy transport driver, passenger or unknown position",29
2017,"WA","Motorcyclist",931
2017,"WA","Other or unknown",87
2017,"WA","Pedal cyclist",637
2017,"WA","Pedestrian",194
2017,"WA","Pick-up truck or van occupant",25
2018,"ACT","Bus occupant",0
2018,"ACT","Car driver, passenger or unknown position",287
2018,"ACT","Heavy transport driver, passenger or unknown position",0
2018,"ACT","Motorcyclist",161
2018,"ACT","Other or unknown",9
2018,"ACT","Pedal cyclist",217
2018,"ACT","Pedestrian",24
2018,"ACT","Pick-up truck or van occupant",0
2018,"NSW","Bus occupant",92
2018,"NSW","Car driver, passenger or unknown position",4469
2018,"NSW","Heavy transport driver, passenger or unknown position",151
2018,"NSW","Motorcyclist",2347
2018,"NSW","Other or unknown",163
2018,"NSW","Pedal cyclist",1681
2018,"NSW","Pedestrian",823
2018,"NSW","Pick-up truck or van occupant",68
2018,"NT","Bus occupant",0
2018,"NT","Car driver, passenger or unknown position",488
2018,"NT","Heavy transport driver, passenger or unknown position",0
2018,"NT","Motorcyclist",169
2018,"NT","Other or unknown",7
2018,"NT","Pedal cyclist",71
2018,"NT","Pedestrian",73
2018,"NT","Pick-up truck or van occupant",7
2018,"QLD","Bus occupant",37
2018,"QLD","Car driver, passenger or unknown position",4823
2018,"QLD","Heavy transport driver, passenger or unknown position",163
2018,"QLD","Motorcyclist",2320
2018,"QLD","Other or unknown",131
2018,"QLD","Pedal cyclist",1408
2018,"QLD","Pedestrian",430
2018,"QLD","Pick-up truck or van occupant",69
2018,"SA","Bus occupant",9
2018,"SA","Car driver, passenger or unknown position",1190
2018,"SA","Heavy transport driver, passenger or unknown position",20
2018,"SA","Motorcyclist",559
2018,"SA","Other or unknown",51
2018,"SA","Pedal cyclist",496
2018,"SA","Pedestrian",148
2018,"SA","Pick-up truck or van occupant",8
2018,"TAS","Bus occupant",0
2018,"TAS","Car driver, passenger or unknown position",404
2018,"TAS","Heavy transport driver, passenger or unknown position",8
2018,"TAS","Motorcyclist",171
2018,"TAS","Other or unknown",15
2018,"TAS","Pedal cyclist",109
2018,"TAS","Pedestrian",59
2018,"TAS","Pick-up truck or van occupant",5
2018,"VIC","Bus occupant",73
2018,"VIC","Car driver, passenger or unknown position",6099
2018,"VIC","Heavy transport driver, passenger or unknown position",143
2018,"VIC","Motorcyclist",1944
